2
Alle Farben; 1; 4.10; 4.1
Tom Odell; 1; 4.10; 4.1
Billen Ted; 1; 4.10; 4.1
220 Kid; 1; 4.10; 4.1
Farruko; 1; 4.10; 4.1
Måneskin; 1; 4.10; 4.1
Kiddo; 1; 4.10; 4.1
Nathan Evans; 1; 4.10; 4.1
The Neighbourhood; 1; 4.00; 4.0
Eminem; 1; 4.00; 4.0
Pia Maria; 1; 3.90; 3.9
Pajel; 1; 3.90; 3.9
Gzuz; 1; 3.90; 3.9
Montez; 1; 3.70; 3.7
Daft Punk; 1; 3.70; 3.7
Pharrell Williams And Nile Rodgers; 1; 3.70; 3.7
Elton John; 1; 3.60; 3.6
Dua Lipa; 1; 3.60; 3.6
Demi Lovato; 1; 3.50; 3.5
Rammstein; 1; 3.40; 3.4
Macklemore; 1; 3.30; 3.3
Ryan Lewis; 1; 3.30; 3.3
Tinlicker; 1; 3.20; 3.2
Helsloot; 1; 3.20; 3.2
Buba Corelli; 1; 3.10; 3.1
Bts; 1; 3.10; 3.1
Jala Brat; 1; 3.10; 3.1
Coldplay; 1; 3.10; 3.1
01099; 1; 3.00; 3.0
Pashanim; 1; 3.00; 3.0
Cro; 1; 3.00; 3.0
Shouse; 1; 2.90; 2.9
Adele; 1; 2.90; 2.9
Jack Harlow; 1; 2.90; 2.9
Jnr Choi; 1; 2.80; 2.8
Voyage (Rs); 1; 2.80; 2.8
Nucci; 1; 2.80; 2.8
Purple Disco Machine; 1; 2.80; 2.8
Civo; 1; 2.80; 2.8
Sophie And The Giants; 1; 2.80; 2.8
Camila Cabello; 1; 2.80; 2.8
Charlie Puth; 1; 2.60; 2.6
Ahmad Amin; 1; 2.60; 2.6
Glass Animals; 1; 2.60; 2.6
Swedish House Mafia; 1; 2.50; 2.5
Olivia Rodrigo; 1; 2.50; 2.5
Josh.; 1; 2.40; 2.4
Clockclock; 1; 2.30; 2.3
Glockenbach; 1; 2.30; 2.3
1986Zig; 1; 2.30; 2.3
Fred Rabe; 1; 2.10; 2.1
Cherish; 1; 2.10; 2.1
Kummer; 1; 2.10; 2.1
Acraze; 1; 2.10; 2.1
Jaymes Young; 1; 2.10; 2.1
Alvaro Soler; 1; 2.10; 2.1
George Ezra; 1; 2.10; 2.1
Justin Bieber; 1; 2.10; 2.1
The Kid Laroi; 1; 2.10; 2.1
Gayle; 1; 2.00; 2.0
Blackbear; 1; 2.00; 2.0
